documento_id,classificacao_id,sha256,caminho_em_disco,tamanho_bytes
DOC-C10-004,C10,97c24b0568326b3bebf8458890751f53eba86b5b595f846cc87b12a8bbc2fcfa,PLANO EDITORIAL-PRODUTOS-SERVICOS/02-EDITORIAL/01-PECA-001/00-MERGULHE-AQUI.md,938
DOC-C10-005,C10,4c2a47784049575c7e356fb4af1a4d51e9d73bc37df30dc3fc7e4f24c32f4470,PLANO EDITORIAL-PRODUTOS-SERVICOS/02-EDITORIAL/01-PECA-001/01-CONTEUDO-E-ROTEIRO.md,380
DOC-C10-006,C10,6c1e07dc2e5c4d093d0f845e22e426ba5367fdc8f22eb5062ad934ae5a805f70,PLANO EDITORIAL-PRODUTOS-SERVICOS/02-EDITORIAL/01-PECA-001/02-IMAGENS-E-DIAGRAMAS.md,390
DOC-C10-007,C10,3e1b1467695a46b765d58ad281d20472ca23596abe4ab04dd91cb9e877d314ae,PLANO EDITORIAL-PRODUTOS-SERVICOS/02-EDITORIAL/01-PECA-001/03-VIDEO.md,335
DOC-C10-008,C10,1299fddbf6a2512ccb678f6fe71ec554cb84da83717c9e3b78dd26edef449cb5,PLANO EDITORIAL-PRODUTOS-SERVICOS/02-EDITORIAL/01-PECA-001/04-CHAMADA-E-BRINDE.md,418
DOC-C10-009,C10,507a80b0ea1dc626f4f9596a371967ff79ee9a63cf6f16438bb6bab3b3db75f7,PLANO EDITORIAL-PRODUTOS-SERVICOS/02-EDITORIAL/01-PECA-001/05-PUBLICACAO-E-AGENDA.md,328
DOC-C10-010,C10,f05c37f13e1c43615608706b9d0ec8bfcc2b6ae594a85a337da7081d98f1828f,PLANO EDITORIAL-PRODUTOS-SERVICOS/02-EDITORIAL/01-PECA-001/06-EVIDENCIA-DE-CONCLUSAO.md,408
DOC-C10-011,C10,ba8c7a1671840f9ecf68272e116a439a3c5ddd73e9d76da70f292909feba9ad1,PLANO EDITORIAL-PRODUTOS-SERVICOS/02-EDITORIAL/01-PECA-001/PECA-001-TDAH-GESTAO.md,1243
DOC-C10-012,C10,11825f68fd3cb527b83e3e142f14eab1c96b728168e5ddddf840c0420ccc739f,PLANO EDITORIAL-PRODUTOS-SERVICOS/02-EDITORIAL/02-PECA-002/00-MERGULHE-AQUI.md,937
DOC-C10-013,C10,f39e0d81a3d23b98529b28ce551f28a7ccad2e9135117e784f26c65e2f161bb8,PLANO EDITORIAL-PRODUTOS-SERVICOS/02-EDITORIAL/02-PECA-002/01-CONTEUDO-E-ROTEIRO.md,379
DOC-C10-014,C10,67529905ec8fa00d5d7914af5cb0d26977eb83a73334ca7c69997a2d10017737,PLANO EDITORIAL-PRODUTOS-SERVICOS/02-EDITORIAL/02-PECA-002/02-IMAGENS-E-DIAGRAMAS.md,379
DOC-C10-015,C10,22aa1cdf2efd0a375225b298d01fd201ad5be2c8bb4c1879fd0725b07aeb3d39,PLANO EDITORIAL-PRODUTOS-SERVICOS/02-EDITORIAL/02-PECA-002/03-VIDEO.md,324
DOC-C10-016,C10,ac04ef59c640cfeb570a2d367c2b2444905f268f456668b9a7fdbf5aa6a8dffa,PLANO EDITORIAL-PRODUTOS-SERVICOS/02-EDITORIAL/02-PECA-002/04-CHAMADA-E-BRINDE.md,407
DOC-C10-017,C10,ea7c751de27cc42eedc0e98ffbf440c52c16cdf5498867bc152daa63ce59168f,PLANO EDITORIAL-PRODUTOS-SERVICOS/02-EDITORIAL/02-PECA-002/05-PUBLICACAO-E-AGENDA.md,317
DOC-C10-018,C10,12395308e58fa588be25d751e64a2cad30ae9591eb49b49a7ad35ab76d6a4a7a,PLANO EDITORIAL-PRODUTOS-SERVICOS/02-EDITORIAL/02-PECA-002/06-EVIDENCIA-DE-CONCLUSAO.md,397
DOC-C10-019,C10,2b9ca0b1c3212def92229643f3e1ee1d35a3fa85180a6297b0909c9295b52943,PLANO EDITORIAL-PRODUTOS-SERVICOS/02-EDITORIAL/02-PECA-002/PECA-002-TDAH-GESTAO-DE-RISCOS.md,1221
DOC-C10-020,C10,3fc75de1089e0d068b742f5148c75f00abf502905a859e4d4744906a2ce37469,PLANO EDITORIAL-PRODUTOS-SERVICOS/02-EDITORIAL/03-PECA-003/00-MERGULHE-AQUI.md,930
DOC-C10-021,C10,acaab08530f86d78fdad8f4ddfd8f7f343641ad9dff321b84dc017864466b524,PLANO EDITORIAL-PRODUTOS-SERVICOS/02-EDITORIAL/03-PECA-003/01-CONTEUDO-E-ROTEIRO.md,372
DOC-C10-022,C10,6ca8d3dd891f674aef2f6d576b82d9c809a6e6c94f214ef503f0d973ae6562e9,PLANO EDITORIAL-PRODUTOS-SERVICOS/02-EDITORIAL/03-PECA-003/02-IMAGENS-E-DIAGRAMAS.md,375
DOC-C10-023,C10,a9132ec3cfc66c9527d2433e86bacdfc7b8e226ecb9e84e7476b6b8096df168e,PLANO EDITORIAL-PRODUTOS-SERVICOS/02-EDITORIAL/03-PECA-003/03-VIDEO.md,320
DOC-C10-024,C10,c0e21d412a1ce91a6a0d3bfc315c220538fb33bec0198de3061a13023538bf7b,PLANO EDITORIAL-PRODUTOS-SERVICOS/02-EDITORIAL/03-PECA-003/04-CHAMADA-E-BRINDE.md,403
DOC-C10-025,C10,889c860d9a8218f55cd4ed4bf569aa3b2abf29447adddc47aefcedc3111abb69,PLANO EDITORIAL-PRODUTOS-SERVICOS/02-EDITORIAL/03-PECA-003/05-PUBLICACAO-E-AGENDA.md,313
DOC-C10-026,C10,be7737eb79ce1034b5fd0747cd84ede40c0f6941c8fa8e50f16a06b7abf5c7b0,PLANO EDITORIAL-PRODUTOS-SERVICOS/02-EDITORIAL/03-PECA-003/06-EVIDENCIA-DE-CONCLUSAO.md,393
DOC-C10-027,C10,0f2cf0e311d2e7ac25f78eac829587dbef7fa02aa0579a1e4f50ef1e47ea38a5,PLANO EDITORIAL-PRODUTOS-SERVICOS/02-EDITORIAL/03-PECA-003/PECA-003-FUNCOES-EXECUTIVAS.md,1257
DOC-C10-028,C10,02ca0535d790ff23a5f7a6bd2cbf8f624a65500180fc9678d13980aaed05cb44,PLANO EDITORIAL-PRODUTOS-SERVICOS/02-EDITORIAL/04-BRINDE-CANONICO/00-MERGULHE-AQUI.md,465
DOC-C10-029,C10,e322d46a7dec1328efc171e19b0ecf9002aeb050061637fbcbe03a53147b6c6a,PLANO EDITORIAL-PRODUTOS-SERVICOS/02-EDITORIAL/04-BRINDE-CANONICO/BRINDE-001-MATERIAL-CANONICO.md,646
DOC-C10-030,C10,806a1e527d970ff6e6656ff9c34563bcd9001a9c4a4b1c2d764587f57209c4d4,PLANO EDITORIAL-PRODUTOS-SERVICOS/02-EDITORIAL/05-BANCO-DE-IDEIAS/00-MERGULHE-AQUI.md,439
DOC-C10-031,C10,5c21be6f262cd6a771872ecd45310d038d0cb18d8b03f37d3c4d493635f5188a,PLANO EDITORIAL-PRODUTOS-SERVICOS/02-EDITORIAL/05-BANCO-DE-IDEIAS/BANCO-DE-IDEIAS.md,327
DOC-C11-001,C11,00ddbe01bd6a3bb871314b60408bae201561eba0f67ec703d7c2e027c01e0171,PLANO EDITORIAL-PRODUTOS-SERVICOS/03-DEMONSTRACOES/00-MERGULHE-AQUI.md,681
DOC-C11-002,C11,20286fd5da5381e7d41fc4c9f87c8f791450605527c4db78aee4ac5d8be6acd3,PLANO EDITORIAL-PRODUTOS-SERVICOS/03-DEMONSTRACOES/00-MERGULHE-DEMONSTRACOES.md,133
DOC-C11-003,C11,26326875237fad5abf8f365c1615a4739771e882195406dd831d7bbc789fd957,PLANO EDITORIAL-PRODUTOS-SERVICOS/03-DEMONSTRACOES/01-APLICATIVO/00-MERGULHE-AQUI.md,451
DOC-C11-004,C11,6ebde703038677848dbe5fc824c4255d4c719ac594b49e7a42a8e5929b00919e,PLANO EDITORIAL-PRODUTOS-SERVICOS/03-DEMONSTRACOES/01-APLICATIVO/01-DEMONSTRACAO-APLICATIVO.md,398
DOC-C11-005,C11,775c1b8491f63921aba76edd2fd7c68ce85036dee5c3872fe95d57e77d35fecc,PLANO EDITORIAL-PRODUTOS-SERVICOS/03-DEMONSTRACOES/02-AGENTE-007/00-MERGULHE-AQUI.md,435
DOC-C11-006,C11,62de028fbd9ed284adc70151471006b7518f79d2ff4e0a3061854c4647e3747b,PLANO EDITORIAL-PRODUTOS-SERVICOS/03-DEMONSTRACOES/02-AGENTE-007/02-DEMO-AGENTE-007.md,357
DOC-C11-007,C11,594d8ec50e9e25c2ad7573f5d8b3e3f3d150b1c985270da4be72305715019735,PLANO EDITORIAL-PRODUTOS-SERVICOS/03-DEMONSTRACOES/03-MAPA-OS/00-MERGULHE-AQUI.md,420
DOC-C11-008,C11,f65a202ec2c0ea159d8b81bf42244db675101df146dbd591bd885785293e87c0,PLANO EDITORIAL-PRODUTOS-SERVICOS/03-DEMONSTRACOES/03-MAPA-OS/03-DEMO-MAPA-OS.md,330
DOC-C11-009,C11,1a2b40f902c917e114313d7055742da7a90ff93e53ec879de108936173ff3739,PLANO EDITORIAL-PRODUTOS-SERVICOS/03-DEMONSTRACOES/04-ESTUDIO/00-MERGULHE-AQUI.md,436
DOC-C11-010,C11,3dd9eeb9411861b6b9f8856daf52284550a73295ae053bc16621f78453d5cf0d,PLANO EDITORIAL-PRODUTOS-SERVICOS/03-DEMONSTRACOES/04-ESTUDIO/04-DEMONSTRACAO-ESTUDIO.md,386
